id;nom_lieu_dit;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;source_position;source_nom_voie
74293_B007;Bois Bérou;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_8h76j9;Crevy;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_xoqtk0;Foncenex;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_25tz13;Impasse de la Bévière;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_50vuon;La Planche;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_b2xqon;La Tuilière;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_1watle;Le Marais;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_mh4oef;Lotissement la Pierre Verte;74140;74293;Veigy-Foncenex;;;950757.98;6581152.92;6.257777;46.283703;bal;bal
74293_evuqno;Lotissement la Vue du Jura;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_8byg8i;Lotissement le Bedon;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_A016;Lotissement Les Cabrettes;74140;74293;Veigy-Foncenex;;;950749.13;6581201.24;6.257688;46.284141;bal;bal
74293_7n74fp;Lotissement les Nuirates;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_iw21n7;Lotissement les Places;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_A110;Lotissement les Préludes;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_iymc7a;Lotissement Pavillon Sud A;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_d3j7ok;Lotissement Pavillon Sud B;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_j6tylu;Lotissement Plein Sud;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_g5xlme;Lotissement Pré Paccot;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_dxognz;Lotissement Saint Hubert 1;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_iscp8s;Lotissement Saint Hubert 2;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74293_tu4oot;Lotissement Saint Hubert 3;74140;74293;Veigy-Foncenex;;;951700.16;6579672.95;6.269208;46.270037;bal;bal
74285_8627l6;Benoz;74910;74285;Usinens;;;919157.77;6549080.02;5.832674;46.006076;bal;bal
74285_hakef3;Bovinens;74910;74285;Usinens;;;920511.95;6550763.05;5.850947;46.020783;bal;bal
74285_c9y1rf;Chatel;74910;74285;Usinens;;;920544.53;6547575.11;5.849881;45.992084;bal;bal
74285_o0b7bx;Chef-Lieu;74910;74285;Usinens;;;919839.4;6549577.79;5.841708;46.010335;bal;bal
74285_2gzj83;Lovanel;74910;74285;Usinens;;;920718.78;6549692.97;5.853119;46.011086;bal;bal
74285_a873dg;Pont Rouge;74910;74285;Usinens;;;921825.35;6550352.25;5.86772;46.016658;bal;bal
74285_dinayt;Tanay;74910;74285;Usinens;;;920939.59;6550106.22;5.856164;46.014733;bal;bal
74285_B139;Vers Croix;74910;74285;Usinens;;;920472.92;6549912.22;5.850046;46.013139;bal;bal
74282_6j28qx;Aviernoz;74570;74282;Fillière;74022;Aviernoz;949425.41;6547093.29;6.222436;45.977751;bal;bal
74282_yxkowb;Évires;74570;74282;Fillière;74120;Évires;949318.48;6553744.17;6.224563;46.037631;bal;bal
74282_qi6ie2;Les Ollières;74570;74282;Fillière;74204;Les Ollières;946289.89;6547079.88;6.181964;45.978775;bal;bal
74282_bmtnss;Saint-Martin-Bellevue;74570;74282;Fillière;74245;Saint-Martin-Bellevue;943771.41;6545223.31;6.148505;45.962979;bal;bal
74282_B535;Thorens-Glières;74570;74282;Fillière;74282;Thorens-Glières;951205.22;6549484.7;6.246674;45.998611;bal;bal
74273_B009;Balme Dessous;74740;74273;Sixt-Fer-à-Cheval;;;990251.81;6557732.74;6.755685;46.057226;bal;bal
74273_B010;Balme Dessus;74740;74273;Sixt-Fer-à-Cheval;;;990003.54;6558042.89;6.752668;46.060122;bal;bal
74273_B060;Combe Rateau;74740;74273;Sixt-Fer-à-Cheval;;;991263.76;6556654.66;6.768094;46.047095;bal;bal
74273_B067;Communal du Déchargeux;74740;74273;Sixt-Fer-à-Cheval;;;991544.33;6555178.51;6.770807;46.033697;bal;bal
74273_B066;Communal du Praz;74740;74273;Sixt-Fer-à-Cheval;;;991658.34;6555361.07;6.772392;46.03529;bal;bal
74273_B088;Crêt de la Chapelle;74740;74273;Sixt-Fer-à-Cheval;;;991493.36;6556969.14;6.771254;46.049825;bal;bal
